"Institution","Acad Group","Acad Org","Subject","Catalog","Course Title","Descr of Pre/Co-requisites","Line","Logical Connector","LP","Line Type","Rqs Type","Req Subject","Req Catalog","Min Grade","Min GPA","Min Units","Cond Code","Operator","Value","RP","Allow In-Progress","Allow Trnsfr Crdt","Allow Test Crdt","Allow Othr Crdt","Allow Equiv Course","Consent","Eff Date","Rqrmnt","Value","Institution","Acad Group","Subject","Catalog","Ptrn Type","Course ID","Designation","Parenth","Min Course","Trnsfr Lvl","In GPA crs","Excl In-Progrss","Min Points","Min Units","Valid Beg","Valid End","Term","Assoc","Topic ID","Test ID","Component","Score","Key"
"QNS01","PROV","ACADSP-QC","ACSKL","3201","Academic Writing","","","","","","","","","","","","","","","","","","","","","No Consent","07/17/2013","","","","","","","","","","","","","","","","","","","","","","","","",""
"QNS01","PROV","ACADSP-QC","ACSKL","3202","Academic Writing","","","","","","","","","","","","","","","","","","","","","No Consent","07/17/2013","","","","","","","","","","","","","","","","","","","","","","","","",""
"QNS01","PROV","ACADSP-QC","ACSKL","3203","Academic Writing","","","","","","","","","","","","","","","","","","","","","No Consent","07/17/2013","","","","","","","","","","","","","","","","","","","","","","","","",""
"QNS01","PROV","ACADSP-QC","ACSKL","3601","Academic Reading","","","","","","","","","","","","","","","","","","","","","No Consent","01/01/1901","","","","","","","","","","","","","","","","","","","","","","","","",""
"QNS01","PROV","ACADSP-QC","ACSKL","3602","Academic Reading","","","","","","","","","","","","","","","","","","","","","No Consent","04/03/2013","","","","","","","","","","","","","","","","","","","","","","","","",""
"QNS01","PROV","ACADSP-QC","ACSKL","3603","Academic Reading","","","","","","","","","","","","","","","","","","","","","No Consent","04/03/2013","","","","","","","","","","","","","","","","","","","","","","","","",""
"QNS01","PROV","ACADSP-QC","ACSKL","9999","ACSKL Events","","","","","","","","","","","","","","","","","","","","","No Consent","01/01/1901","","","","","","","","","","","","","","","","","","","","","","","","",""
"QNS01","PROV","ACADSP-QC","CESL","  21","Foundations of Writing 1","","","","","","","","","","","","","","","","","","","","","No Consent","06/05/2013","","","","","","","","","","","","","","","","","","","","","","","","",""
"QNS01","PROV","ACADSP-QC","CESL","  25","Foundations of Reading 1","","","","","","","","","","","","","","","","","","","","","No Consent","06/05/2013","","","","","","","","","","","","","","","","","","","","","","","","",""
"QNS01","PROV","ACADSP-QC","CESL","  31","Foundations of Writing 2","PRE: CESL 21, or admission by placement examination, or recommendation of CESL director","0010","","","Course","Pre-Rqs","CESL","  21","","0.000","0.00","","","","","Y","Y","Y","Y","Y","No Consent","05/29/2013","","","QNS01","","","","SMPL","005124","","","0.00","ALL","N","N","0.00","0.00","","","","0","0","","","0.00","0001"
"QNS01","PROV","ACADSP-QC","CESL","  35","Foundations of Reading 2","PRE: CESL 25, or admission by placement examination, or recommendation of CESL director","0010","","","Course","Pre-Rqs","CESL","  21","","0.000","0.00","","","","","Y","Y","Y","Y","Y","No Consent","05/29/2013","","","QNS01","","","","SMPL","005124","","","0.00","ALL","N","N","0.00","0.00","","","","0","0","","","0.00","0001"
"QNS01","PROV","ACADSP-QC","CESL","  50","Intro Amer Civiliz","","","","","","","","","","","","","","","","","","","","","No Consent","06/05/2013","","","","","","","","","","","","","","","","","","","","","","","","",""
"QNS01","PROV","ACADSP-QC","CESL"," 283","Communication Skills","","","","","","","","","","","","","","","","","","","","","No Consent","06/05/2013","","","","","","","","","","","","","","","","","","","","","","","","",""
"QNS01","PROV","ACADSP-QC","CESL"," 284","Communication Skills","","","","","","","","","","","","","","","","","","","","","No Consent","06/05/2013","","","","","","","","","","","","","","","","","","","","","","","","",""
"QNS01","PROV","ACADSP-QC","CESL"," 499","Coll Level ESL Elective Credit","","","","","","","","","","","","","","","","","","","","","No Consent","07/24/2014","","","","","","","","","","","","","","","","","","","","","","","","",""
"QNS01","PROV","ACADSP-QC","CESL"," 700","Grad Eng Sec Lang","","","","","","","","","","","","","","","","","","","","","No Consent","07/24/2014","","","","","","","","","","","","","","","","","","","","","","","","",""
"QNS01","SOCSC","ACCT-QC","ACCT"," 100","Fin & Mgr Acct","BALA Minors Only","0010","","","Condition","","","","","0.000","0.00","Acad Plan","Equal","BALA-MIN","","Y","Y","Y","Y","","No Consent","08/17/2018","","BALA-MIN","QNS01","","","","SMPL","","","","0.00","ALL","N","N","0.00","0.00","","","","0","0","","","0.00","0001"
"QNS01","SOCSC","ACCT-QC","ACCT"," 101","Int Theo & Prac Acct 1","Minimum of twelve (12) credits completed","0010","","","Requiremnt","Pre-Rqs","","","","0.000","0.00","","","","","Y","Y","Y","Y","","No Consent","04/04/2013","000001470","","QNS01","","","","SMPL","","","","0.00","ALL","N","N","0.00","0.00","","","","0","0","","","0.00","0001"
"QNS01","SOCSC","ACCT-QC","ACCT"," 102","Intro Theo & Prac Acct II","PRE: ACCT 101 (C- OR ABOVE) AND SOPHOMORE STANDING OR ABOVE","0010","","","Course","Pre-Rqs","ACCT"," 101","C-","0.000","0.00","","","","","Y","Y","Y","Y","Y","No Consent","04/05/2013","","","QNS01","","","","SMPL","003007","","","0.00","ALL","N","N","1.70","0.00","","","","0","0","","","0.00","0001"
"QNS01","SOCSC","ACCT-QC","ACCT"," 102","Intro Theo & Prac Acct II","PRE: ACCT 101 (C- OR ABOVE) AND SOPHOMORE STANDING OR ABOVE","0020","And","(","Condition","","","","C","0.000","0.00","Acad Level","> or =","Lower SO","","Y","Y","Y","Y","","No Consent","04/05/2013","","21","QNS01","","","","SMPL","","","(","0.00","ALL","N","N","2.00","0.00","","","","0","0","","","0.00","0002"
"QNS01","SOCSC","ACCT-QC","ACCT"," 102","Intro Theo & Prac Acct II","PRE: ACCT 101 (C- OR ABOVE) AND SOPHOMORE STANDING OR ABOVE","0030","Or","","Condition","","","","C","0.000","0.00","Acad Level","Equal","5th Year",")","Y","Y","Y","Y","","No Consent","04/05/2013","","05","QNS01","","","","SMPL","","",")","0.00","ALL","N","N","2.00","0.00","","","","0","0","","","0.00","0004"
"QNS01","SOCSC","ACCT-QC","ACCT"," 123","Acct Fin Mod","Prereq: CSCI 088. Enrollment limited to students admitted to the Minor in Financial Modeling, and may not substitute for ACCT 101 or 102.","0010","","","Course","Pre-Rqs","CSCI","  88","","0.000","0.00","","","","","Y","Y","Y","Y","N","No Consent","04/04/2013","","","QNS01","","","","SMPL","005636","","","0.00","ALL","N","N","0.00","0.00","","","","0","0","","","0.00","0001"
"QNS01","SOCSC","ACCT-QC","ACCT"," 123","Acct Fin Mod","Prereq: CSCI 088. Enrollment limited to students admitted to the Minor in Financial Modeling, and may not substitute for ACCT 101 or 102.","0020","And","","Condition","","","","","0.000","0.00","Acad Plan","Equal","FINMDL-MIN","","Y","Y","Y","Y","","No Consent","04/04/2013","","FINMDL-MIN","QNS01","","","","SMPL","","","","0.00","ALL","N","N","0.00","0.00","","","","0","0","","","0.00","0002"
"QNS01","SOCSC","ACCT-QC","ACCT"," 201","Intermediate Accounting l","PRE: ACCT 102 (C OR ABOVE) AND SOPHOMORE STANDING OR ABOVE","0010","","","Course","Pre-Rqs","ACCT"," 102","C","0.000","0.00","","","","","Y","Y","Y","Y","Y","No Consent","04/04/2013","","","QNS01","","","","SMPL","003008","","","0.00","ALL","N","N","2.00","0.00","","","","0","0","","","0.00","0001"
"QNS01","SOCSC","ACCT-QC","ACCT"," 201","Intermediate Accounting l","PRE: ACCT 102 (C OR ABOVE) AND SOPHOMORE STANDING OR ABOVE","0020","And","(","Condition","","","","C","0.000","0.00","Acad Level","> or =","Lower SO","","Y","Y","Y","Y","","No Consent","04/04/2013","","21","QNS01","","","","SMPL","","","(","0.00","ALL","N","N","2.00","0.00","","","","0","0","","","0.00","0002"
"QNS01","SOCSC","ACCT-QC","ACCT"," 201","Intermediate Accounting l","PRE: ACCT 102 (C OR ABOVE) AND SOPHOMORE STANDING OR ABOVE","0030","Or","","Condition","","","","C","0.000","0.00","Acad Level","Equal","5th Year",")","Y","Y","Y","Y","","No Consent","04/04/2013","","05","QNS01","","","","SMPL","","",")","0.00","ALL","N","N","2.00","0.00","","","","0","0","","","0.00","0003"
"QNS01","SOCSC","ACCT-QC","ACCT"," 202","Intermediate Accounting II","PRE:  ACCT 201 (C OR ABOVE) AND JUNIOR STANDING OR ABOVE","0010","","","Course","Pre-Rqs","ACCT"," 201","C","0.000","0.00","","","","","Y","Y","Y","Y","Y","No Consent","04/04/2013","","","QNS01","","","","SMPL","003009","","","0.00","ALL","N","N","2.00","0.00","","","","0","0","","","0.00","0001"
"QNS01","SOCSC","ACCT-QC","ACCT"," 202","Intermediate Accounting II","PRE:  ACCT 201 (C OR ABOVE) AND JUNIOR STANDING OR ABOVE","0020","And","(","Condition","","","","C-","0.000","0.00","Acad Level","> or =","Lower JR","","Y","Y","Y","Y","","No Consent","04/04/2013","","31","QNS01","","","","SMPL","","","(","0.00","ALL","N","N","1.70","0.00","","","","0","0","","","0.00","0002"
"QNS01","SOCSC","ACCT-QC","ACCT"," 202","Intermediate Accounting II","PRE:  ACCT 201 (C OR ABOVE) AND JUNIOR STANDING OR ABOVE","0030","Or","","Condition","","","","C-","0.000","0.00","Acad Level","Equal","5th Year",")","Y","Y","Y","Y","","No Consent","04/04/2013","","05","QNS01","","","","SMPL","","",")","0.00","ALL","N","N","1.70","0.00","","","","0","0","","","0.00","0003"
"QNS01","SOCSC","ACCT-QC","ACCT"," 261","Business Law I","PRE:  SOPHOMORE STANDING OR ABOVE","0010","","(","Condition","","","","","0.000","0.00","Acad Level","> or =","Lower SO","","Y","Y","Y","Y","","No Consent","05/01/2013","","21","QNS01","","","","SMPL","","","(","0.00","ALL","N","N","0.00","0.00","","","","0","0","","","0.00","0001"
"QNS01","SOCSC","ACCT-QC","ACCT"," 261","Business Law I","PRE:  SOPHOMORE STANDING OR ABOVE","0020","Or","","Condition","","","","","0.000","0.00","Acad Level","Equal","5th Year",")","Y","Y","Y","Y","","No Consent","05/01/2013","","05","QNS01","","","","SMPL","","",")","0.00","ALL","N","N","0.00","0.00","","","","0","0","","","0.00","0002"
"QNS01","SOCSC","ACCT-QC","ACCT"," 305","Cost Accounting","PRE: ACCT 102 (C OR ABOVE) AND SOPHOMORE STANDING OR ABOVE","0010","","","Course","Pre-Rqs","ACCT"," 102","C","0.000","0.00","","","","","Y","Y","Y","Y","Y","No Consent","04/04/2013","","","QNS01","","","","SMPL","003008","","","0.00","ALL","N","N","2.00","0.00","","","","0","0","","","0.00","0001"
"QNS01","SOCSC","ACCT-QC","ACCT"," 305","Cost Accounting","PRE: ACCT 102 (C OR ABOVE) AND SOPHOMORE STANDING OR ABOVE","0020","And","(","Condition","","","","C","0.000","0.00","Acad Level","> or =","Lower SO","","Y","Y","Y","Y","","No Consent","04/04/2013","","21","QNS01","","","","SMPL","","","(","0.00","ALL","N","N","2.00","0.00","","","","0","0","","","0.00","0002"
"QNS01","SOCSC","ACCT-QC","ACCT"," 305","Cost Accounting","PRE: ACCT 102 (C OR ABOVE) AND SOPHOMORE STANDING OR ABOVE","0030","Or","","Condition","","","","C","0.000","0.00","Acad Level","Equal","5th Year",")","Y","Y","Y","Y","","No Consent","04/04/2013","","05","QNS01","","","","SMPL","","",")","0.00","ALL","N","N","2.00","0.00","","","","0","0","","","0.00","0003"
"QNS01","SOCSC","ACCT-QC","ACCT"," 306","Quant Techniq Pln & Ctrl","PREREQ:  ACCT 305 (C OR ABOVE) AND ECON 249.   JUNIOR STANDING  AND ABOVE.","0010","","","Course","Pre-Rqs","ACCT"," 305","C","0.000","0.00","","","","","Y","Y","Y","Y","Y","No Consent","04/04/2013","","","QNS01","","","","SMPL","003013","","","0.00","ALL","N","N","2.00","0.00","","","","0","0","","","0.00","0001"
"QNS01","SOCSC","ACCT-QC","ACCT"," 306","Quant Techniq Pln & Ctrl","PREREQ:  ACCT 305 (C OR ABOVE) AND ECON 249.   JUNIOR STANDING  AND ABOVE.","0020","And","","Course","Pre-Rqs","ECON"," 249","","0.000","0.00","","","","","Y","Y","Y","Y","Y","No Consent","04/04/2013","","","QNS01","","","","SMPL","006520","","","0.00","ALL","N","N","0.00","0.00","","","","0","0","","","0.00","0002"
"QNS01","SOCSC","ACCT-QC","ACCT"," 306","Quant Techniq Pln & Ctrl","PREREQ:  ACCT 305 (C OR ABOVE) AND ECON 249.   JUNIOR STANDING  AND ABOVE.","0030","And","(","Condition","","","","C-","0.000","0.00","Acad Level","> or =","Lower JR","","Y","Y","Y","Y","","No Consent","04/04/2013","","31","QNS01","","","","SMPL","","","(","0.00","ALL","N","N","1.70","0.00","","","","0","0","","","0.00","0003"
"QNS01","SOCSC","ACCT-QC","ACCT"," 306","Quant Techniq Pln & Ctrl","PREREQ:  ACCT 305 (C OR ABOVE) AND ECON 249.   JUNIOR STANDING  AND ABOVE.","0040","Or","","Condition","","","","C-","0.000","0.00","Acad Level","Equal","5th Year",")","Y","Y","Y","Y","","No Consent","04/04/2013","","05","QNS01","","","","SMPL","","",")","0.00","ALL","N","N","1.70","0.00","","","","0","0","","","0.00","0004"
"QNS01","SOCSC","ACCT-QC","ACCT"," 311","Advanced Accounting","PRE: ACCT 202 (C OR ABOVE).  JUNIOR STANDING OR ABOVE","0010","","","Course","Pre-Rqs","ACCT"," 202","C","0.000","0.00","","","","","Y","Y","Y","Y","Y","No Consent","04/04/2013","","","QNS01","","","","SMPL","003010","","","0.00","ALL","N","N","2.00","0.00","","","","0","0","","","0.00","0001"
"QNS01","SOCSC","ACCT-QC","ACCT"," 311","Advanced Accounting","PRE: ACCT 202 (C OR ABOVE).  JUNIOR STANDING OR ABOVE","0020","And","(","Condition","","","","C","0.000","0.00","Acad Level","> or =","Lower JR","","Y","Y","Y","Y","","No Consent","04/04/2013","","31","QNS01","","","","SMPL","","","(","0.00","ALL","N","N","2.00","0.00","","","","0","0","","","0.00","0002"
"QNS01","SOCSC","ACCT-QC","ACCT"," 311","Advanced Accounting","PRE: ACCT 202 (C OR ABOVE).  JUNIOR STANDING OR ABOVE","0030","Or","","Condition","","","","C","0.000","0.00","Acad Level","Equal","5th Year",")","Y","Y","Y","Y","","No Consent","04/04/2013","","05","QNS01","","","","SMPL","","",")","0.00","ALL","N","N","2.00","0.00","","","","0","0","","","0.00","0003"
"QNS01","SOCSC","ACCT-QC","ACCT"," 321","Auditing I","COREQ:  ACCT 311 AND SENIOR STANDING","0010","","","Course","Co-Rqs","ACCT"," 311","","0.000","0.00","","","","","Y","Y","Y","Y","Y","No Consent","04/04/2013","","","QNS01","","","","SMPL","003015","","","0.00","ALL","N","N","0.00","0.00","","","","0","0","","","0.00","0001"
"QNS01","SOCSC","ACCT-QC","ACCT"," 321","Auditing I","COREQ:  ACCT 311 AND SENIOR STANDING","0020","And","(","Condition","","","","","0.000","0.00","Acad Level","> or =","Lower SR","","Y","Y","Y","Y","","No Consent","04/04/2013","","41","QNS01","","","","SMPL","","","(","0.00","ALL","N","N","0.00","0.00","","","","0","0","","","0.00","0002"
"QNS01","SOCSC","ACCT-QC","ACCT"," 321","Auditing I","COREQ:  ACCT 311 AND SENIOR STANDING","0030","Or","","Condition","","","","","0.000","0.00","Acad Level","Equal","5th Year",")","Y","Y","Y","Y","","No Consent","04/04/2013","","05","QNS01","","","","SMPL","","",")","0.00","ALL","N","N","0.00","0.00","","","","0","0","","","0.00","0003"
"QNS01","SOCSC","ACCT-QC","ACCT"," 322","Auditing II","PRE: ACCT 321 (C OR ABOVE), ECON 249 AND SENIOR STANDING","0010","","","Course","Pre-Rqs","ACCT"," 321","C","0.000","0.00","","","","","Y","Y","Y","Y","Y","No Consent","04/04/2013","","","QNS01","","","","SMPL","003016","","","0.00","ALL","N","N","2.00","0.00","","","","0","0","","","0.00","0001"
"QNS01","SOCSC","ACCT-QC","ACCT"," 322","Auditing II","PRE: ACCT 321 (C OR ABOVE), ECON 249 AND SENIOR STANDING","0020","And","","Course","Pre-Rqs","ECON"," 249","","0.000","0.00","","","","","Y","Y","Y","Y","Y","No Consent","04/04/2013","","","QNS01","","","","SMPL","006520","","","0.00","ALL","N","N","0.00","0.00","","","","0","0","","","0.00","0004"
"QNS01","SOCSC","ACCT-QC","ACCT"," 322","Auditing II","PRE: ACCT 321 (C OR ABOVE), ECON 249 AND SENIOR STANDING","0030","And","(","Condition","","","","","0.000","0.00","Acad Level","> or =","Lower SR","","Y","Y","Y","Y","","No Consent","04/04/2013","","41","QNS01","","","","SMPL","","","(","0.00","ALL","N","N","0.00","0.00","","","","0","0","","","0.00","0005"
"QNS01","SOCSC","ACCT-QC","ACCT"," 322","Auditing II","PRE: ACCT 321 (C OR ABOVE), ECON 249 AND SENIOR STANDING","0040","Or","","Condition","","","","","0.000","0.00","Acad Level","Equal","5th Year",")","Y","Y","Y","Y","","No Consent","04/04/2013","","05","QNS01","","","","SMPL","","",")","0.00","ALL","N","N","0.00","0.00","","","","0","0","","","0.00","0006"
"QNS01","SOCSC","ACCT-QC","ACCT"," 331","Advanced Accounting Problems","PRE: ACCT 306 AND ACCT 311 AND A GRADE OF C","0010","","","Course","Pre-Rqs","ACCT"," 306","C","0.000","0.00","","","","","Y","Y","Y","Y","Y","No Consent","04/04/2013","","","QNS01","","","","SMPL","003014","","","0.00","ALL","N","N","2.00","0.00","","","","0","0","","","0.00","0001"
"QNS01","SOCSC","ACCT-QC","ACCT"," 331","Advanced Accounting Problems","PRE: ACCT 306 AND ACCT 311 AND A GRADE OF C","0020","And","","Course","Pre-Rqs","ACCT"," 311","C","0.000","0.00","","","","","Y","Y","Y","Y","Y","No Consent","04/04/2013","","","QNS01","","","","SMPL","003015","","","0.00","ALL","N","N","2.00","0.00","","","","0","0","","","0.00","0002"
"QNS01","SOCSC","ACCT-QC","ACCT"," 341","Accounting Information Systems","PRE:  ACCT 305 AND ACCT 201, BOTH WITH GRADES C OR ABOVE, AND CSCI 48 AND JUNIOR STANDING OR ABOVE","0010","","","Course","Pre-Rqs","ACCT"," 305","C","0.000","0.00","","","","","Y","Y","Y","Y","Y","No Consent","03/18/2019","","","QNS01","","","","SMPL","003013","","","0.00","ALL","N","N","2.00","0.00","","","","0","0","","","0.00","0001"
"QNS01","SOCSC","ACCT-QC","ACCT"," 341","Accounting Information Systems","PRE:  ACCT 305 AND ACCT 201, BOTH WITH GRADES C OR ABOVE, AND CSCI 48 AND JUNIOR STANDING OR ABOVE","0020","And","","Course","Pre-Rqs","ACCT"," 201","C","0.000","0.00","","","","","Y","Y","Y","Y","Y","No Consent","03/18/2019","","","QNS01","","","","SMPL","003009","","","0.00","ALL","N","N","2.00","0.00","","","","0","0","","","0.00","0002"
"QNS01","SOCSC","ACCT-QC","ACCT"," 341","Accounting Information Systems","PRE:  ACCT 305 AND ACCT 201, BOTH WITH GRADES C OR ABOVE, AND CSCI 48 AND JUNIOR STANDING OR ABOVE","0040","And","","Course","Pre-Rqs","CSCI","  48","","0.000","0.00","","","","","Y","Y","Y","Y","Y","No Consent","03/18/2019","","","QNS01","","","","SMPL","118602","","","0.00","ALL","N","N","0.00","0.00","","","","0","0","","","0.00","0004"
"QNS01","SOCSC","ACCT-QC","ACCT"," 341","Accounting Information Systems","PRE:  ACCT 305 AND ACCT 201, BOTH WITH GRADES C OR ABOVE, AND CSCI 48 AND JUNIOR STANDING OR ABOVE","0050","And","(","Condition","","","","","0.000","0.00","Acad Level","> or =","Lower JR","","Y","Y","Y","Y","","No Consent","03/18/2019","","31","QNS01","","","","SMPL","","","(","0.00","ALL","N","N","0.00","0.00","","","","0","0","","","0.00","0005"
"QNS01","SOCSC","ACCT-QC","ACCT"," 341","Accounting Information Systems","PRE:  ACCT 305 AND ACCT 201, BOTH WITH GRADES C OR ABOVE, AND CSCI 48 AND JUNIOR STANDING OR ABOVE","0060","Or","","Condition","","","","","0.000","0.00","Acad Level","Equal","5th Year",")","Y","Y","Y","Y","","No Consent","03/18/2019","","05","QNS01","","","","SMPL","","",")","0.00","ALL","N","N","0.00","0.00","","","","0","0","","","0.00","0006"
"QNS01","SOCSC","ACCT-QC","ACCT"," 343","Microcomputer Applications","PRE:  ACCT 305 AND ACCT 201, BOTH WITH GRADES C OR ABOVE, AND CSCI 48 AND JUNIOR STANDING OR ABOVE","0010","","","Course","Pre-Rqs","ACCT"," 305","C","0.000","0.00","","","","","Y","Y","Y","Y","Y","No Consent","03/18/2019","","","QNS01","","","","SMPL","003013","","","0.00","ALL","N","N","2.00","0.00","","","","0","0","","","0.00","0001"
"QNS01","SOCSC","ACCT-QC","ACCT"," 343","Microcomputer Applications","PRE:  ACCT 305 AND ACCT 201, BOTH WITH GRADES C OR ABOVE, AND CSCI 48 AND JUNIOR STANDING OR ABOVE","0020","And","","Course","Pre-Rqs","ACCT"," 201","C","0.000","0.00","","","","","Y","Y","Y","Y","Y","No Consent","03/18/2019","","","QNS01","","","","SMPL","003009","","","0.00","ALL","N","N","2.00","0.00","","","","0","0","","","0.00","0002"
"QNS01","SOCSC","ACCT-QC","ACCT"," 343","Microcomputer Applications","PRE:  ACCT 305 AND ACCT 201, BOTH WITH GRADES C OR ABOVE, AND CSCI 48 AND JUNIOR STANDING OR ABOVE","0040","And","","Course","Pre-Rqs","CSCI","  48","","0.000","0.00","","","","","Y","Y","Y","Y","Y","No Consent","03/18/2019","","","QNS01","","","","SMPL","118602","","","0.00","ALL","N","N","0.00","0.00","","","","0","0","","","0.00","0004"
"QNS01","SOCSC","ACCT-QC","ACCT"," 343","Microcomputer Applications","PRE:  ACCT 305 AND ACCT 201, BOTH WITH GRADES C OR ABOVE, AND CSCI 48 AND JUNIOR STANDING OR ABOVE","0050","And","(","Condition","","","","","0.000","0.00","Acad Level","> or =","Lower JR","","Y","Y","Y","Y","","No Consent","03/18/2019","","31","QNS01","","","","SMPL","","","(","0.00","ALL","N","N","0.00","0.00","","","","0","0","","","0.00","0005"
"QNS01","SOCSC","ACCT-QC","ACCT"," 343","Microcomputer Applications","PRE:  ACCT 305 AND ACCT 201, BOTH WITH GRADES C OR ABOVE, AND CSCI 48 AND JUNIOR STANDING OR ABOVE","0060","Or","","Condition","","","","","0.000","0.00","Acad Level","Equal","5th Year",")","Y","Y","Y","Y","","No Consent","03/18/2019","","05","QNS01","","","","SMPL","","",")","0.00","ALL","N","N","0.00","0.00","","","","0","0","","","0.00","0006"
"QNS01","SOCSC","ACCT-QC","ACCT"," 350","Financial Statement Analysis","PRE: ACCT 311 with grade of C or better","0010","","","Course","Pre-Rqs","ACCT"," 311","C","0.000","0.00","","","","","Y","Y","Y","Y","Y","No Consent","04/29/2013","","","QNS01","","","","SMPL","003015","","","0.00","ALL","N","N","2.00","0.00","","","","0","0","","","0.00","0001"
"QNS01","SOCSC","ACCT-QC","ACCT"," 355","Acct Intl Envir","PRE: ACCT 306 AND ACCT 311, BOTH WITH GRADES OF C OR BETTER, AND OPEN TO SENIORS ONLY.  NOT OPEN TO STUDENTS WHO HAVE RECEIVED CREDIT FOR BUS 255.","0010","","","Course","Pre-Rqs","ACCT"," 306","C","0.000","0.00","","","","","Y","Y","Y","Y","Y","No Consent","04/04/2013","","","QNS01","","","","SMPL","003014","","","0.00","ALL","N","N","2.00","0.00","","","","0","0","","","0.00","0001"
"QNS01","SOCSC","ACCT-QC","ACCT"," 355","Acct Intl Envir","PRE: ACCT 306 AND ACCT 311, BOTH WITH GRADES OF C OR BETTER, AND OPEN TO SENIORS ONLY.  NOT OPEN TO STUDENTS WHO HAVE RECEIVED CREDIT FOR BUS 255.","0020","And","","Course","Pre-Rqs","ACCT"," 311","C","0.000","0.00","","","","","Y","Y","Y","Y","Y","No Consent","04/04/2013","","","QNS01","","","","SMPL","003015","","","0.00","ALL","N","N","2.00","0.00","","","","0","0","","","0.00","0002"
"QNS01","SOCSC","ACCT-QC","ACCT"," 355","Acct Intl Envir","PRE: ACCT 306 AND ACCT 311, BOTH WITH GRADES OF C OR BETTER, AND OPEN TO SENIORS ONLY.  NOT OPEN TO STUDENTS WHO HAVE RECEIVED CREDIT FOR BUS 255.","0030","And","(","Condition","","","","C","0.000","0.00","Acad Level","> or =","Lower SR","","Y","Y","Y","Y","","No Consent","04/04/2013","","41","QNS01","","","","SMPL","","","(","0.00","ALL","N","N","2.00","0.00","","","","0","0","","","0.00","0003"
"QNS01","SOCSC","ACCT-QC","ACCT"," 355","Acct Intl Envir","PRE: ACCT 306 AND ACCT 311, BOTH WITH GRADES OF C OR BETTER, AND OPEN TO SENIORS ONLY.  NOT OPEN TO STUDENTS WHO HAVE RECEIVED CREDIT FOR BUS 255.","0040","Or","","Condition","","","","C","0.000","0.00","Acad Level","Equal","5th Year",")","Y","Y","Y","Y","","No Consent","04/04/2013","","05","QNS01","","","","SMPL","","",")","0.00","ALL","N","N","2.00","0.00","","","","0","0","","","0.00","0004"
